"","agency","year","department","expense_category","budget_code","budget_name","adopted","modified","encumbered","cash_expense","pre_encumbered","post_adjustment","accrued_expense"
"11","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9825","BORO NEEDS","13518697","8211949","0","7954833.15","0","782148.44","0"
"12","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9915","ADULT ED ACT","6909140","6623342","0","5456223.56","0","83659.92","0"
"13","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3710","Summer Youth Employment Program","3156240","6422051","0","6141632.69","0","305744.92","0"
"14","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","4180","BEACONS-FED CD","5550000","5747563","0","5398885.01","0","0","0"
"15","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3606","TRANSITIONAL INDPT LIVING","2613050","5468793","0","5468792.57","0","0","0"
"16","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3697","CEO  -  Youth Internships","8350000","5049421","0","4891461.49","0","106243.56","0"
"17","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3715","CODE ENFORCEMENT CENTRAL OPERATIONS- CD","0","4675406","0","3350078.44","0","0","0"
"18","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9826","IMMIGRANT OPPORTUNITY INITIATIVE","0","4257000","0","4006307.34","0","483134.84","0"
"19","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3616","RUNAWAYS","7255349","3891080","0","3847779.98","0","43299.19","0"
"20","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3741","Charter Schools PB","1742633","3785422","0","3613341","0","363054","0"
"21","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3698","AIDS CASE DEFINITION","4145000","3471330","0","3490003.59","0","0","0"
"22","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3551","OST - OPTION   2","3049592","3013161","0","2903649.87","0","100951.11","0"
"23","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3700","EPIDEMIOLOGY","3123565","2814925","0","2814925","0","0","0"
"24","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3697","CEO  -  Youth Internships","0","2791458","0","2743975","0","0","0"
"25","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3180","DOH Outreach Lead","2000000","2610000","0","2610000","0","0","0"
"26","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","FULL YEAR POSITIONS","6006","Legal/General Counsel","2571112","2571695","0","2564639.43","0","0","0"
"27","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","RENTALS - LAND BLDGS & STRUCTS","3112","ADMINISTRATIVE","2524895","2524895","0","1942806.79","0","582088","0"
"28","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","S017","ARRA Lead Weatherization","959800","2341653","0","2340600.14","0","0","0"
"29","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","S015","IMMUNIZATION & VACCINES FOR CHILDREN","2900000","2303349","0","2303348.76","0","0","0"
"30","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","4006","PROJECT MANAGEMENT OFF PRY MGT","2280673","2199903","0","1710848.55","0","0","0"
"31","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3701","PERMITS & APPROVALS-INDIRECT","13642764","2179333","0","1547500.19","0","0","0"
"32","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3685","TAX LEVY INITIATIVES","1999784","2168784","0","2168747.62","0","0","0"
"33","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3710","Summer Youth Employment Program","1380554","1692788","0","1692787.57","0","0","0"
"34","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9917","Adult Literacy Program: Classroom Inst","1561000","1561000","0","1552920.7","0","8079.26","0"
"35","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","FULL YEAR POSITIONS","1006","Budget Administration - MA","1580671","1554126","0","1340156.24","0","0","0"
"36","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3006","VITAL RECORDS","1465476","1465491","0","1150923.81","0","0","0"
"37","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3716","SYEP - Private Grants","0","1382597","0","1382597","0","0","0"
"38","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","5201","ADMIN SERVICES","1359932","1351204","0","1484772.77","0","0","0"
"39","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","RENTALS - LAND BLDGS & STRUCTS","9904","CSBG-AOTPS","1335688","1335688","0","1210427.51","0","125260","0"
"40","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","3612","ADMIN OTPS","1173900","1173900","0","1173899.5","0","0","0"
"41","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","JTPA-WAGES","3712","CSBG - SYEP","0","1144539","0","1144539","0","0","0"
"42","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","5001","FINANCIAL SERVICES","940948","1065835","0","722253.97","0","0","0"
"43","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3711","Summer Youth Employment Program","0","1064972","0","925518.89","0","118153.84","0"
"44","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","5006","NY COUNTY DEFENDERS SVCS","1134497","983629","0","921464.65","0","0","0"
"45","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","S013","CSBG ARRA - Adult Literacy (ESOL)","917000","965306","0","965305.45","0","0","0"
"46","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","4003","Discretionary","940091","940091","0","1452186.54","0","0","0"
"47","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3709","WIA Out of  School from OCFS (APY)","240000","892402","0","545145.53","0","0","0"
"48","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3696","CEO -  Young Adult Literacy","730000","861883","0","847396.93","0","14485.83","0"
"49","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","COMMUNITY CONSULTANT CONTRACTS","9805","COMMUNITY ACTION","600000","800000","0","799999.82","0","0","0"
"50","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","S012","ARRA-EARLY INTERVENTION ADMINISTRATION","809420","794037","0","793569.27","0","0","0"
"51","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","S008","Immun&Vacc/Children-Reach More","0","790416","0","785737.03","0","0","0"
"52","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","S017","ARRA Lead Weatherization","434379","789992","0","789992","0","0","0"
"53","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","4106","Injury Surveillance & Prev Program","937244","765846","0","748152.94","0","0","0"
"54","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PROF SERV ACCTING & AUDITING","9804","ADMIN OTPS","656433","729608","0","548839.2","0","180766.8","0"
"55","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","4001","BUDGET STABILIZATION ACCOUNT","664917","727206","0","757385.73","0","0","0"
"56","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3552","URBAN AREAS SECURITY INITIATIVE FFY2010","928195","714305","0","691705.59","0","22597.41","0"
"57","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","4206","Vulnerable Youth/RHY","683489","683693","0","613914.29","0","0","0"
"58","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","S016","Hughes Avenue- TCAP ARRA","2300000","682486","0","682276.98","0","209","0"
"59","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3559","AIDS Prevention","0","672407","0","634414.73","0","7870.9","0"
"60","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","5004","Executive Communications","843505","612754","0","433220.46","0","0","0"
"61","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","RENTALS - LAND BLDGS & STRUCTS","3705","WIA AOTPS","175780","594417","0","434533.52","0","159883","0"
"62","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAY FOR SURETY BOND/INSUR PREM","9805","COMMUNITY ACTION","585000","585000","0","359146.54","0","225853","0"
"63","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","5101","HUMAN RESOURCES","564064","538130","0","463935.66","0","0","0"
"64","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","S004","ASSESSING VARICELLA VACCINE EFFECTIVENSS","0","520341","0","520340.29","0","0","0"
"65","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3553","OST - Technical  Assistance","498779","500000","0","499990.14","0","0","0"
"66","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3716","SYEP - Private Grants","0","482300","0","487815.07","0","6335","0"
"67","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9920","City Council U/A 120","479593","479593","0","471557.58","0","4531.31","0"
"68","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3554","OST - Evaluation","432449","432449","0","432449","0","0","0"
"69","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","5005","BROOKLYN SOUTH BORO OFFICE","427642","427642","0","360373.02","0","0","0"
"70","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","S003","POP PROGRAM PARTICIPANTS-ARRA IC/DYCD","0","412410","0","412409.44","0","0","0"
"71","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","S011","ARRA HOMELESS PREVENT & RAPID RE-HOUSING","389980","393828","0","393827.21","0","0","0"
"72","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3190","BEACONS/ACS","0","386816","0","386816","0","0","0"
"73","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","2804","Food Pantry Program","375000","375000","0","374999.43","0","0.57","0"
"74","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3558","AIDS Prevention & Surveillance-Fed","5508","366315","0","365389.15","0","0","0"
"75","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3710","Summer Youth Employment Program","0","360715","0","360567.69","0","0","0"
"76","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","2002","EQUAL EMPLOYMENT OPPORT","381545","331788","0","264912.63","0","0","0"
"77","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","COMMUNITY CONSULTANT CONTRACTS","S013","CSBG ARRA - Adult Literacy (ESOL)","0","307892","0","307892","0","0","0"
"78","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","S006","IMMUNIZATION & VACCINES FOR CHILDREN","0","295084","0","295083.5","0","0","0"
"79","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","3625","WTC Communications","0","292500","0","196024.5","0","97556","0"
"80","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","3705","WIA AOTPS","0","275009","0","216525.5","0","0","0"
"81","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3697","CEO  -  Youth Internships","270000","270000","0","175968.48","0","0","0"
"82","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","3712","CSBG - SYEP","0","266245","0","266244.05","0","0","0"
"83","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3698","AIDS CASE DEFINITION","95673","262167","0","225559.45","0","0","0"
"84","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","S005","POP TRANSITIONAL JOBS ADMIN - HRA","0","260463","0","260462.98","0","0","0"
"85","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","UNSALARIED","S008","Immun&Vacc/Children-Reach More","1088396","259040","0","256216.27","0","0","0"
"86","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3000","DEPUTY COMM TRANSIT OPERATION","252417","252883","0","217254.18","0","0","0"
"87","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3112","ADMINISTRATIVE","246358","246358","0","246358","0","0","0"
"88","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3697","CEO  -  Youth Internships","0","227922","0","218971.94","0","0","0"
"89","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3700","EPIDEMIOLOGY","292167","221640","0","221640","0","0","0"
"90","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","UNSALARIED","5006","NY COUNTY DEFENDERS SVCS","65","217055","0","254171.32","0","0","0"
"91","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","LONGEVITY DIFFERENTIAL","2006","IIA&IIC JTPA-TAP TRAINING","206107","206822","0","183785.23","0","0","0"
"92","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","COMMUNITY CONSULTANT CONTRACTS","3698","AIDS CASE DEFINITION","0","200000","0","100244","0","0","0"
"93","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","9805","COMMUNITY ACTION","0","187374","0","187372.44","0","0","0"
"94","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3550","AIDS Prevention & Surveillance-Fed","373325","173325","0","0","0","173325","0"
"95","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3697","CEO  -  Youth Internships","0","168750","0","168750","0","0","0"
"96","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PURCH DATA PROCESSING EQUIPT","3612","ADMIN OTPS","7000","158939","0","158736.08","0","0","0"
"97","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3624","TAX LEVY CASA CITY COUNCIL","0","157424","0","152395.3","0","7604.48","0"
"98","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV CURRIC & PROF DEVEL","S007","Immunization & Vaccines for Children-IIS","0","149884","0","149883.3","0","0","0"
"99","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","4306","DACE Admin OTPS","146932","146932","0","191048.44","0","0","0"
"100","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","TELEPHONE & OTHER COMMUNICATNS","4199","AOTPS-IC","183416","143416","0","143416","0","0","0"
"101","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","S020","HOMELESS PREVENTION HPRP  - DHS","139063","139063","0","138163","0","876","0"
"102","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","S005","POP TRANSITIONAL JOBS ADMIN - HRA","0","124800","0","124800","0","0","0"
"103","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3705","WIA AOTPS","118843","118843","0","118843","0","0","0"
"104","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","RENTALS OF MISC.EQUIP","3612","ADMIN OTPS","72600","112229","0","105485.76","0","5260","0"
"105","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","P312","FINANCIAL PLAN SAVINGS","0","111700","0","0","0","0","0"
"106","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3716","SYEP - Private Grants","0","110469","0","110469","0","0","0"
"107","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PROF SERV ACCTING & AUDITING","S019","ARRA NSP2 - Site Development","180000","109998","0","109998","0","0","0"
"108","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","OVERTIME","2006","IIA&IIC JTPA-TAP TRAINING","108978","108978","0","112319.42","0","0","0"
"109","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","S018","ARRA NSP2 - Direct & Leveraged Homebuyer","0","106820","0","105473.27","0","0","0"
"110","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","S007","Immunization & Vaccines for Children-IIS","0","106176","0","106176","0","0","0"
"111","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PROF SERV COMPUTER SERVICES","9921","CEO - Non-Custodial Parent Services","105000","105000","0","105000","0","0","0"
"112","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","COMMUNITY CONSULTANT CONTRACTS","3697","CEO  -  Youth Internships","0","101350","0","101350","0","0","0"
"113","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PROF SERV ACCTING & AUDITING","9805","COMMUNITY ACTION","300000","100000","0","10200","0","14730","0"
"114","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","OTHER EXPENSES - GENERAL","9915","ADULT ED ACT","99825","99825","0","0","0","0","0"
"115","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3696","CEO -  Young Adult Literacy","0","99000","0","99000","0","0","0"
"116","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","4104","Emergency Shelter","0","98217","0","70783.05","0","27433","0"
"117","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PURCH DATA PROCESSING EQUIPT","S007","Immunization & Vaccines for Children-IIS","0","91662","0","91661.9","0","0","0"
"118","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","JTPA-FRINGES","3712","CSBG - SYEP","0","91449","0","91449","0","0","0"
"119","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3711","Summer Youth Employment Program","0","86762","0","85970.5","0","0","0"
"120","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","S017","ARRA Lead Weatherization","73000","78618","0","78618","0","0","0"
"121","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","S005","POP TRANSITIONAL JOBS ADMIN - HRA","0","73098","0","73097.7","0","0","0"
"122","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3158","MAFATA","70035","70035","0","66477.59","0","0","0"
"123","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3612","ADMIN OTPS","45900","68317","0","55361.06","0","0","0"
"124","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","DATA PROCESSING SUPPLIES","3612","ADMIN OTPS","15000","60359","0","57915.97","0","0","0"
"125","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3705","WIA AOTPS","0","59063","0","59062.63","0","0","0"
"126","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3612","ADMIN OTPS","42500","57668","0","50613.84","0","854.05","0"
"127","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","TEMPORARY SERVICES","3612","ADMIN OTPS","10000","55000","0","52972.47","0","2015","0"
"128","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","BOOKS-OTHER","S007","Immunization & Vaccines for Children-IIS","0","54564","0","54564","0","24980.55","0"
"129","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PROF SERV DIRECT EDUC SERV","9805","COMMUNITY ACTION","238200","53631","0","0","0","0","0"
"130","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","HOLIDAY PAY","2006","IIA&IIC JTPA-TAP TRAINING","51369","51369","0","266.82","0","0","0"
"131","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","S004","ASSESSING VARICELLA VACCINE EFFECTIVENSS","0","49300","0","49300","0","0","0"
"132","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PRINTING CONTRACTS","3612","ADMIN OTPS","41500","42184","0","31071.22","0","0","0"
"133","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","TERMINAL LEAVE","2006","IIA&IIC JTPA-TAP TRAINING","40796","40796","0","116534.89","0","0","0"
"134","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","CLEANING SERVICES","3612","ADMIN OTPS","3000","36532","0","36532","0","0","0"
"135","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","POSTAGE","4198","AOTPS","15000","35000","0","35000","0","0","0"
"136","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","S010","BYRNE COMPETITIVE:ENHANCING CSI","328707","34523","0","34522.53","0","0","0"
"137","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","S003","POP PROGRAM PARTICIPANTS-ARRA IC/DYCD","0","32951","0","32951","0","0","0"
"138","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PROF SERV ACCTING & AUDITING","9825","BORO NEEDS","0","32400","0","32400","0","0","0"
"139","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3709","WIA Out of  School from OCFS (APY)","14933","31960","0","31959.73","0","0","0"
"140","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3612","ADMIN OTPS","9000","31487","0","27437.13","0","0","0"
"141","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","ALLOWANCES TO PARTICIPANTS","9805","COMMUNITY ACTION","0","30000","0","28892.53","0","0","0"
"142","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","UNSALARIED","3558","AIDS Prevention & Surveillance-Fed","0","28972","0","29898.34","0","0","0"
"143","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3710","Summer Youth Employment Program","0","27287","0","1959.68","0","0","0"
"144","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","S007","Immunization & Vaccines for Children-IIS","0","27000","0","27000","0","0","0"
"145","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","OFFICE SERVICES","4198","AOTPS","500","26730","0","1637.3","0","0","0"
"146","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3698","AIDS CASE DEFINITION","0","26511","0","3850","0","0","0"
"147","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","SUPPLIES + MATERIALS - GENERAL","9704","COMMUNITY ACTION PROGRAM AOTPS","26250","26250","0","24683.43","0","0","0"
"148","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3101","FERRY OPS  -  City","24998","24998","0","23040.01","0","0","0"
"149","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","MAINT & REP OF MOTOR VEH EQUIP","3101","FERRY OPS  -  City","24970","24970","0","16891","0","0","0"
