"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"11","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","5330663.11","Collected Unearned Revenue Roll"
"12","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","5066288.19","Collected Unearned Revenue Roll"
"13","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","5030042.81","Collected Unearned Revenue Roll"
"14","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","4618340.06","Collected Unearned Revenue Roll"
"15","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","4588808.36","Collected Unearned Revenue Roll"
"16","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","4424816.88","Collected Unearned Revenue Roll"
"17","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","4056887.44","Collected Unearned Revenue Roll"
"18","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","3495341.34","Unbilled Revenue"
"19","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","3456209.71","Collected Revenue"
"20","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","2694119.14","Unbilled Revenue"
"21","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","2214898.85","Collected Revenue"
"22","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","2214898.85","Billed Revenue"
"23","Department of Small Business Services","Federal Grants-Categorical","COMMUNITY DEVELOPMENT BLOCK GRANT","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","2107409.06","Billed Revenue"
"24","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","2105033.39","Collected Revenue"
"25","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","2105033.39","Billed Revenue"
"26","Department of Small Business Services","Federal Grants-Categorical","COMMUNITY DEVELOPMENT BLOCK GRANT","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","2028352.41","Billed Revenue"
"27","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","1819931.04","Collected Unearned Revenue Roll"
"28","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  MARKET","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","1812750","Collected Revenue"
"29","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  MARKET","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","1812750","Collected Revenue"
"30","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  MARKET","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","1812750","Collected Revenue"
"31","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  MARKET","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","1812750","Collected Revenue"
"32","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1692318.28","Collected Revenue"
"33","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1692318.28","Billed Revenue"
"34","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1664724.96","Billed Revenue"
"35","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1606663.5","Billed Revenue"
"36","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1594859.06","Collected Revenue"
"37","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1594282.93","Collected Revenue"
"38","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1594282.93","Billed Revenue"
"39","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1587881.63","Billed Revenue"
"40","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1587881.63","Collected Revenue"
"41","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","1485854.65","Collected Revenue"
"42","Department of Small Business Services","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2011","2011","","","1454033.25","Collected Revenue"
"43","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1379961.42","Collected Revenue"
"44","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1286582.01","Billed Revenue"
"45","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1286582.01","Collected Revenue"
"46","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","1241987.22","Collected Revenue"
"47","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  DOCK SHIP WHARFAGE","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","1200000","Collected Revenue"
"48","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  DOCK SHIP WHARFAGE","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","1200000","Collected Revenue"
"49","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  DOCK SHIP WHARFAGE","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","1200000","Collected Revenue"
"50","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  DOCK SHIP WHARFAGE","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","1200000","Collected Revenue"
"51","Department of Small Business Services","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2011","2011","","","1200000","Collected Revenue"
"52","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","1138249.77","Collected Revenue"
"53","Department of Small Business Services","Federal Grants-Categorical","COMMUNITY DEVELOPMENT BLOCK GRANT","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","1137100.09","Billed Revenue"
"54","Department of Small Business Services","Federal Grants-Categorical","COMMUNITY DEVELOPMENT BLOCK GRANT","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","1137100.09","Billed Revenue"
"55","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1132574.44","Collected Revenue"
"56","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1102514.01","Billed Revenue"
"57","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1095775.39","Billed Revenue"
"58","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1040220.49","Billed Revenue"
"59","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1032083.23","Billed Revenue"
"60","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","1026501.25","Collected Revenue"
"61","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1023709.74","Billed Revenue"
"62","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1023709.74","Collected Revenue"
"63","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1005252.96","Billed Revenue"
"64","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","878348.79","Billed Revenue"
"65","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","878348.79","Collected Revenue"
"66","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","868892.54","Accounts Left In Old Year"
"67","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","862651.56","Collected Revenue"
"68","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","862651.56","Billed Revenue"
"69","Department of Small Business Services","Federal Grants-Categorical","COMMUNITY DEVELOPMENT BLOCK GRANT","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","787167.73","Unbilled Revenue"
"70","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","759246.37","Billed Revenue"
"71","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","759246.37","Collected Revenue"
"72","Department of Small Business Services","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2010","2011","","","755097","Accounts Left In Old Year"
"73","Department of Small Business Services","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2010","2011","","","755097","Collected Revenue"
"74","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","749909.97","Collected Revenue"
"75","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","749909.97","Billed Revenue"
"76","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","736566.43","Collected Revenue"
"77","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","736566.43","Billed Revenue"
"78","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","722536.93","Billed Revenue"
"79","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","722536.93","Collected Revenue"
"80","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","717641.53","Collected Revenue"
"81","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","691251.97","Collected Revenue"
"82","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","676138.67","Collected Revenue"
"83","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","676138.67","Billed Revenue"
"84","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","671735.04","Billed Revenue"
"85","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","671735.04","Collected Revenue"
"86","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","654440.5","Billed Revenue"
"87","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","654440.5","Collected Revenue"
"88","Department of Small Business Services","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2011","2011","","","630701.39","Billed Revenue"
"89","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","622861.68","Collected Revenue"
"90","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  OTHER","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","613000","Collected Revenue"
"91","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  OTHER","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","613000","Collected Revenue"
"92","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  OTHER","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","613000","Collected Revenue"
"93","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  OTHER","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","613000","Collected Revenue"
"94","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","604821.38","Collected Revenue"
"95","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","595122.51","Collected Revenue"
"96","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","580428.75","Collected Revenue"
"97","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","580428.75","Billed Revenue"
"98","Department of Small Business Services","Federal Grants-Categorical","COMMUNITY DEVELOPMENT BLOCK GRANT","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2009","2011","","","570779.62","Collected Revenue"
"99","Department of Small Business Services","Federal Grants-Categorical","COMMUNITY DEVELOPMENT BLOCK GRANT","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2010","2011","","","570779.62","Billed Revenue"
"100","Department of Small Business Services","Federal Grants-Categorical","HIGHWAY PLANNING AND CONSTRUCTION","General Fund","FEDERAL - OTHER","TRANSPORTATION","2010","2011","","","531390.63","Collected Revenue"
"101","Department of Small Business Services","Federal Grants-Categorical","COMMUNITY DEVELOPMENT BLOCK GRANT","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","527258.44","Unbilled Revenue"
"102","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","521473.5","Collected Unearned Revenue Roll"
"103","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","520259.82","Billed Revenue"
"104","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","516258.41","Collected Revenue"
"105","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","514440.92","Billed Revenue"
"106","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","512010.53","Billed Revenue"
"107","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","499083.67","Billed Revenue"
"108","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","482021.05","Billed Revenue"
"109","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","477677.26","Billed Revenue"
"110","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","470505","Collected Revenue"
"111","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","454013.02","Billed Revenue"
"112","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","454013.02","Collected Revenue"
"113","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","444682.55","Collected Revenue"
"114","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","437741.03","Billed Revenue"
"115","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","437741.03","Collected Revenue"
"116","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","420289.86","Collected Revenue"
"117","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","419850.74","Billed Revenue"
"118","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","411090.23","Unbilled Revenue"
"119","Department of Small Business Services","Federal Grants-Categorical","FEMA DISASTER GRANTS - PUBLIC ASSISTANCE","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2011","2011","","","399370","Unbilled Revenue"
"120","Department of Small Business Services","Federal Grants-Categorical","RECOVERY ACT JUSTICE ASSISTANCE LOCAL","General Fund","FEDERAL - OTHER","JUSTICE","2011","2011","","","398727.97","Billed Revenue"
"121","Department of Small Business Services","Federal Grants-Categorical","RECOVERY ACT JUSTICE ASSISTANCE LOCAL","General Fund","FEDERAL - OTHER","JUSTICE","2011","2011","","","398727.97","Collected Revenue"
"122","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","391657.5","Collected Revenue"
"123","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","391337.38","Billed Revenue"
"124","Department of Small Business Services","Federal Grants-Categorical","COMMUNITY DEVELOPMENT BLOCK GRANT","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2010","2011","","","390721.31","Collected Revenue"
"125","Department of Small Business Services","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2011","2011","","","387550","Collected Revenue"
"126","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","384624.92","Collected Revenue"
"127","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","383866.33","Collected Revenue"
"128","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","383866.33","Billed Revenue"
"129","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","376627.75","Collected Revenue"
"130","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","376627.75","Billed Revenue"
"131","Department of Small Business Services","Federal Grants-Categorical","TRADE ADJUSTMENT ASSISTANCE PROGRAM","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","368166.35","Billed Revenue"
"132","Department of Small Business Services","Federal Grants-Categorical","TRADE ADJUSTMENT ASSISTANCE PROGRAM","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","368166.35","Collected Revenue"
"133","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","368143.79","Collected Revenue"
"134","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","368143.79","Billed Revenue"
"135","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","346020.15","Collected Unearned Revenue Roll"
"136","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","331706.03","Collected Revenue"
"137","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","331706.03","Collected Revenue"
"138","Department of Small Business Services","Federal Grants-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","331706.03","Billed Revenue"
"139","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","331706.03","Billed Revenue"
"140","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT - ADULT","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","317096.4","Billed Revenue"
"141","Department of Small Business Services","Federal Grants-Categorical","COMMUNITY DEVELOPMENT BLOCK GRANT","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","315287.6","Billed Revenue"
"142","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","312639.6","Collected Revenue"
"143","Department of Small Business Services","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","312639.6","Billed Revenue"
"144","Department of Small Business Services","State Grants-Categorical","ENVIRONMENTAL CONSERVATION","General Fund","STATE","ENVIRONMENTAL CONSERVATION","2011","2011","","","307500","Collected Unearned Revenue Roll"
"145","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","307500","Collected Unearned Revenue Roll"
"146","Department of Small Business Services","Federal Grants-Categorical","COMMUNITY DEVELOPMENT BLOCK GRANT","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2009","2011","","","307496.88","Collected Revenue"
