"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"11","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","5222356.37","Collected Unearned Revenue Roll"
"12","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","4575248.5","Collected Unearned Revenue Roll"
"13","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","4459821.61","Collected Revenue"
"14","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2010","2011","","","4391701.71","Collected Revenue"
"15","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","4241832.2","Billed Revenue"
"16","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","3825949.96","Collected Unearned Revenue Roll"
"17","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","3825949.96","Collected Revenue"
"18","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","3710606.7","Billed Revenue"
"19","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","3329801.18","Collected Unearned Revenue Roll"
"20","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2010","2011","","","3297926.59","Collected Revenue"
"21","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2010","2011","","","3218163.58","Collected Revenue"
"22","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","3061961.51","Collected Unearned Revenue Roll"
"23","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","3061961.51","Collected Revenue"
"24","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","3052492","Collected Unearned Revenue Roll"
"25","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","3052492","Collected Revenue"
"26","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","2910531.86","Collected Unearned Revenue Roll"
"27","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","2736243","Collected Revenue"
"28","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","2684564.1","Collected Revenue"
"29","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","2660061.87","Collected Unearned Revenue Roll"
"30","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","2513202.08","Billed Revenue"
"31","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","2486113.37","Collected Revenue"
"32","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","2483669.8","Billed Revenue"
"33","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","2430116","Billed Revenue"
"34","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","2430116","Collected Revenue"
"35","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","2374644.38","Collected Revenue"
"36","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","2374644.38","Collected Unearned Revenue Roll"
"37","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2010","2011","","","2370540.03","Collected Revenue"
"38","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","2370540.03","Billed Revenue"
"39","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","2365627.86","Collected Unearned Revenue Roll"
"40","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","2365627.86","Collected Revenue"
"41","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","2322270.25","Billed Revenue"
"42","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","2291639.5","Billed Revenue"
"43","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","2291639.5","Collected Revenue"
"44","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","2277098.79","Billed Revenue"
"45","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","2277098.79","Collected Unearned Revenue Roll"
"46","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","2187044.85","Collected Revenue"
"47","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","2164945.91","Billed Revenue"
"48","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","2164945.91","Collected Unearned Revenue Roll"
"49","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","2092154.59","Collected Revenue"
"50","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","2040375.93","Billed Revenue"
"51","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","2040375.93","Collected Revenue"
"52","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","1992187.98","Collected Unearned Revenue Roll"
"53","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","1829544.18","Collected Unearned Revenue Roll"
"54","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","1797172.24","Collected Revenue"
"55","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","1796514.74","Collected Revenue"
"56","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","1796514.74","Collected Unearned Revenue Roll"
"57","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2010","2011","","","1727008","Billed Revenue"
"58","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2010","2011","","","1727008","Collected Revenue"
"59","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","1723166","Billed Revenue"
"60","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","1723166","Collected Revenue"
"61","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","1602793.18","Billed Revenue"
"62","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","1602793.18","Collected Revenue"
"63","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2010","2011","","","1576864","Billed Revenue"
"64","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2010","2011","","","1576864","Collected Revenue"
"65","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","1568560.75","Billed Revenue"
"66","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","1555133.6","Billed Revenue"
"67","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1532057.2","Collected Unearned Revenue Roll"
"68","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1503571.02","Collected Revenue"
"69","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1501254","Collected Unearned Revenue Roll"
"70","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","1466973.29","Billed Revenue"
"71","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1464564.12","Billed Revenue"
"72","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1464564.12","Collected Revenue"
"73","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1464564.12","Collected Unearned Revenue Roll"
"74","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","1370310.18","Collected Revenue"
"75","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1216898.25","Collected Revenue"
"76","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","1197177.44","Billed Revenue"
"77","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1186861.11","Collected Revenue"
"78","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1186861.11","Billed Revenue"
"79","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","1113359.62","Collected Revenue"
"80","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1104840.13","Billed Revenue"
"81","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","1090262.77","Billed Revenue"
"82","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","1090262.77","Collected Revenue"
"83","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","981655.82","Collected Revenue"
"84","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","981655.82","Collected Unearned Revenue Roll"
"85","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","978084.8","Collected Revenue"
"86","Department for the Aging","Federal Grants-Categorical","LOW-INCOME HOME ENERGY ASSISTANCE","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","957819.16","Collected Unearned Revenue Roll"
"87","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","926191.04","Collected Revenue"
"88","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","926191.04","Billed Revenue"
"89","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","914753.05","Billed Revenue"
"90","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","912081","Collected Unearned Revenue Roll"
"91","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","912081","Collected Unearned Revenue Roll"
"92","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","912081","Collected Unearned Revenue Roll"
"93","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","912081","Collected Revenue"
"94","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","912081","Collected Revenue"
"95","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","912081","Collected Revenue"
"96","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","906237.79","Billed Revenue"
"97","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","893096.5","Collected Revenue"
"98","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","893096.5","Collected Unearned Revenue Roll"
"99","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","893096.5","Billed Revenue"
"100","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","852256.42","Collected Revenue"
"101","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","852256.42","Collected Revenue"
"102","Department for the Aging","Federal Grants-Categorical","LOW-INCOME HOME ENERGY ASSISTANCE","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","850000","Unbilled Revenue"
"103","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","838931.82","Collected Unearned Revenue Roll"
"104","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","836714","Collected Revenue"
"105","Department for the Aging","Federal Grants-Categorical","TITLE 3D HEALTH PROMOTION","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","836714","Collected Unearned Revenue Roll"
"106","Department for the Aging","Federal Grants-Categorical","TITLE 3D HEALTH PROMOTION","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","836714","Collected Unearned Revenue Roll"
"107","Department for the Aging","Federal Grants-Categorical","TITLE 3D HEALTH PROMOTION","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","836714","Collected Unearned Revenue Roll"
"108","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","836714","Collected Revenue"
"109","Department for the Aging","Federal Grants-Categorical","LOW-INCOME HOME ENERGY ASSISTANCE","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","801483.26","Billed Revenue"
"110","Department for the Aging","Federal Grants-Categorical","LOW-INCOME HOME ENERGY ASSISTANCE","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","801483.26","Collected Revenue"
"111","Department for the Aging","Federal Grants-Categorical","LOW-INCOME HOME ENERGY ASSISTANCE","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","786852.99","Billed Revenue"
"112","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","785526.12","Collected Unearned Revenue Roll"
"113","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","755819.54","Collected Revenue"
"114","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","755819.54","Billed Revenue"
"115","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","754193.92","Collected Revenue"
"116","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","754193.92","Billed Revenue"
"117","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","736243","Collected Revenue"
"118","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","725154.04","Billed Revenue"
"119","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","724081.93","Collected Unearned Revenue Roll"
"120","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","706745","Collected Revenue"
"121","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2010","2011","","","677890","Collected Revenue"
"122","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2010","2011","","","677890","Billed Revenue"
"123","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","651166.3","Collected Revenue"
"124","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","651166.3","Billed Revenue"
"125","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2010","2011","","","644799.04","Collected Revenue"
"126","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2010","2011","","","623668.02","Collected Revenue"
"127","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","610689.03","Collected Unearned Revenue Roll"
"128","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","605084.18","Unbilled Revenue"
"129","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","600025.55","Billed Revenue"
"130","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","588192.23","Collected Revenue"
"131","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","588192.23","Billed Revenue"
"132","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","577668","Billed Revenue"
"133","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","571174.69","Billed Revenue"
"134","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","557477.2","Collected Revenue"
"135","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","557477.2","Billed Revenue"
"136","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","547922","Collected Revenue"
"137","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2010","2011","","","547922","Billed Revenue"
"138","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2010","2011","","","493249","Collected Revenue"
"139","Department for the Aging","Federal Grants-Categorical","TITLE V NCOA EMPLOYMENT PROG.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","493249","Collected Unearned Revenue Roll"
"140","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","491517.91","Collected Revenue"
"141","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","488083","Unbilled Revenue"
"142","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2010","2011","","","459234","Billed Revenue"
"143","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2010","2011","","","459234","Collected Revenue"
"144","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2011","2011","","","457085","Billed Revenue"
"145","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","451015.91","Billed Revenue"
"146","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","440611.75","Collected Unearned Revenue Roll"
"147","Department for the Aging","Federal Grants-Categorical","TITLE V NCOA EMPLOYMENT PROG.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","437605","Collected Unearned Revenue Roll"
"148","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2011","2011","","","437605","Billed Revenue"
