"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"42","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","35999795","Billed Revenue"
"43","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","34797954","Collected Revenue"
"44","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","34797954","Billed Revenue"
"45","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2024","361067169","422611472","34465169","Collected Revenue"
"46","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","34465169","Billed Revenue"
"47","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","34344808.01","Collected Unearned Revenue Roll"
"48","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","34344808.01","Collected Unearned Revenue Roll"
"49","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","31623840","Billed Revenue"
"50","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","31521354","Collected Unearned Revenue Roll"
"51","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","30628854.01","Collected Unearned Revenue Roll"
"52","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","29567224","Billed Revenue"
"53","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","29219464","Billed Revenue"
"54","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","28245918","Billed Revenue"
"55","Administration for Children's Services","State Grants and Contracts-Categorical","STATE PREVENTIVE SERVICES","General Fund","STATE","SOCIAL SERVICES","2023","2024","454852729","668337329","27581265.8","Collected Revenue"
"56","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","361067169","27468900","Collected Unearned Revenue Roll"
"57","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","361067169","26623317","Collected Unearned Revenue Roll"
"58","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","26623317","Collected Unearned Revenue Roll"
"59","Administration for Children's Services","State Grants and Contracts-Categorical","STATE PREVENTIVE SERVICES","General Fund","STATE","SOCIAL SERVICES","2023","2024","454852729","668337329","25214444.4","Collected Revenue"
"60","Administration for Children's Services","Federal Grants and Contracts-Categorical","FOSTER CARE TITLE IV-E","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","16048063","16601329","24927870.01","Collected Unearned Revenue Roll"
"61","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","24927870.01","Collected Unearned Revenue Roll"
"62","Administration for Children's Services","Federal Grants and Contracts-Categorical","TANF-EAF SET ASIDE FOR CHILD WELFARE","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","84256731","84256731","24843455","Billed Revenue"
"63","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","372567169","24341419","Billed Revenue"
"64","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","24230867","Collected Revenue"
"65","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2024","361067169","422611472","22363173","Collected Revenue"
"66","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","125000000","125000000","22274826","Billed Revenue"
"67","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","21597221","Collected Unearned Revenue Roll"
"68","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","372567169","20958360","Billed Revenue"
"69","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","361067169","20855884","Collected Unearned Revenue Roll"
"70","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","20855884","Collected Unearned Revenue Roll"
"71","Administration for Children's Services","State Grants and Contracts-Categorical","STATE DOSS FRINGE BENEFITS","General Fund","STATE","SOCIAL SERVICES","2023","2023","87997285","109250285","20773813","Billed Revenue"
"72","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","19712971","Collected Unearned Revenue Roll"
"73","Administration for Children's Services","State Grants and Contracts-Categorical","STATE PREVENTIVE SERVICES","General Fund","STATE","SOCIAL SERVICES","2023","2023","454852729","457110303","19645526.01","Collected Unearned Revenue Roll"
"74","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","125000000","140700305","19119355","Billed Revenue"
"75","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","18156094","Collected Unearned Revenue Roll"
"76","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","372567169","18114088","Billed Revenue"
"77","Administration for Children's Services","Federal Grants and Contracts-Categorical","SOC SERV BLK GRANT TITLEXX CHILD WELFARE","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","134546060","134546060","17830454","Billed Revenue"
"78","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2023","189239820","231454031","17715613","Collected Unearned Revenue Roll"
"79","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","372567169","17700634","Billed Revenue"
"80","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","17668098","Collected Unearned Revenue Roll"
"81","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","17655521","Collected Unearned Revenue Roll"
"82","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","17637732","Collected Unearned Revenue Roll"
"83","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","17637732","Collected Unearned Revenue Roll"
"84","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","17615831","Collected Unearned Revenue Roll"
"85","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","17524566","Collected Unearned Revenue Roll"
"86","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","17287129","Collected Revenue"
"87","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2024","361067169","422611472","17170861","Collected Revenue"
"88","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2024","189239820","231454031","17070615","Collected Revenue"
"89","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2023","189239820","231454031","17070615","Billed Revenue"
"90","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2024","189239820","231454031","17002370","Collected Revenue"
"91","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2023","189239820","231454031","17002370","Billed Revenue"
"92","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2023","189239820","231454031","16682950","Billed Revenue"
"93","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","372567169","16632878","Billed Revenue"
"94","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2023","189239820","231454031","16573017","Billed Revenue"
"95","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","390105544","16572483","Unbilled Revenue"
"96","Administration for Children's Services","Federal Grants and Contracts-Categorical","TANF-EAF SET ASIDE FOR CHILD WELFARE","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","84256731","84256731","16401115","Collected Revenue"
"97","Administration for Children's Services","Federal Grants and Contracts-Categorical","TANF-EAF SET ASIDE FOR CHILD WELFARE","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","84256731","84256731","16401115","Billed Revenue"
"98","Administration for Children's Services","Federal Grants and Contracts-Categorical","SOC SERV BLK GRANT TITLEXX CHILD WELFARE","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","134546060","134546060","16281448","Billed Revenue"
"99","Administration for Children's Services","Federal Grants and Contracts-Categorical","TANF-EAF SET ASIDE FOR CHILD WELFARE","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","84256731","84256731","15941571","Collected Revenue"
"100","Administration for Children's Services","Federal Grants and Contracts-Categorical","TANF-EAF SET ASIDE FOR CHILD WELFARE","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","84256731","84256731","15941571","Billed Revenue"
"101","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2023","189239820","231454031","15627165","Billed Revenue"
"102","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2024","125000000","140700305","15613476","Collected Revenue"
"103","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2024","189239820","231454031","15548221","Collected Revenue"
"104","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2023","189239820","231454031","15548221","Billed Revenue"
"105","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2023","189239820","189239820","15262158","Billed Revenue"
"106","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","15250085","Collected Revenue"
"107","Administration for Children's Services","Federal Grants and Contracts-Categorical","TANF-EAF SET ASIDE FOR CHILD WELFARE","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","84256731","84256731","15231821","Collected Revenue"
"108","Administration for Children's Services","State Grants and Contracts-Categorical","SECURE DETENTION SERVICES","General Fund","STATE","YOUTH","2023","2023","28078329","28078329","15223797.71","Collected Unearned Revenue Roll"
"109","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","15223797.71","Collected Unearned Revenue Roll"
"110","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","15153150","Collected Unearned Revenue Roll"
"111","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","125000000","125000000","15141283","Collected Revenue"
"112","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","15141283","Collected Unearned Revenue Roll"
"113","Administration for Children's Services","Federal Grants and Contracts-Categorical","SOC SERV BLK GRANT TITLEXX CHILD WELFARE","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","134546060","134546060","15138637","Billed Revenue"
"114","Administration for Children's Services","Federal Grants and Contracts-Categorical","TANF-EAF SET ASIDE FOR CHILD WELFARE","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","84256731","84256731","15101404","Collected Revenue"
"115","Administration for Children's Services","Federal Grants and Contracts-Categorical","TANF-EAF SET ASIDE FOR CHILD WELFARE","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","84256731","84256731","15101404","Billed Revenue"
"116","Administration for Children's Services","Federal Grants and Contracts-Categorical","FOSTER CARE TITLE IV-E","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","16048063","16534347","14982008","Unbilled Revenue"
"117","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","14883651","Collected Revenue"
"118","Administration for Children's Services","State Grants and Contracts-Categorical","STATE PREVENTIVE SERVICES","General Fund","STATE","SOCIAL SERVICES","2023","2023","454852729","459610303","14492489.02","Collected Unearned Revenue Roll"
"119","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2024","361067169","422611472","14452979","Collected Revenue"
"120","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","14317139","Collected Revenue"
"121","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2024","189239820","231454031","14233550","Collected Revenue"
"122","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2023","189239820","231454031","13872987","Billed Revenue"
"123","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","13491187","Collected Unearned Revenue Roll"
"124","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","390105544","13433651.2","Billed Revenue"
"125","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2023","189239820","231454031","13398452","Collected Revenue"
"126","Administration for Children's Services","State Grants and Contracts-Categorical","FOSTER CARE BLOCK GRANT","General Fund","STATE","SOCIAL SERVICES","2023","2023","189239820","189239820","13398452","Billed Revenue"
"127","Administration for Children's Services","State Grants and Contracts-Categorical","SECURE DETENTION SERVICES","General Fund","STATE","YOUTH","2023","2023","28078329","28078329","13346106.21","Collected Unearned Revenue Roll"
"128","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","13346106.21","Collected Unearned Revenue Roll"
