"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"35","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2023","0","23364642","1682321","Collected Revenue"
"36","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2023","0","23364642","1682321","Collected Unearned Revenue Roll"
"37","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","1646781.49","Collected Revenue"
"38","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","1646781.49","Billed Revenue"
"39","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","1611631.32","Collected Revenue"
"40","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","1611631.32","Billed Revenue"
"41","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","1606928.7","Collected Revenue"
"42","Department of Youth and Community Development","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2022","2022","0","1471493","1470087.8","Collected Revenue"
"43","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","1398933","Collected Revenue"
"44","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2022","2024","3930745","4968487","1216554","Collected Revenue"
"45","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2022","2022","3930745","4968487","1216554","Unbilled Revenue"
"46","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","1169038.75","Collected Revenue"
"47","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","1169038.75","Billed Revenue"
"48","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","Emergency Housing Vouchers","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2022","2022","0","1131379","1131379","Unbilled Revenue"
"49","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2023","16541104","17740249","1075309.09","Collected Revenue"
"50","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","17740249","1075309.09","Billed Revenue"
"51","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2022","2022","0","2307500","971135","Billed Revenue"
"52","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2022","2023","571614","571614","930698","Collected Revenue"
"53","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2022","2022","571614","571614","930698","Billed Revenue"
"54","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2023","16541104","17740249","904657.74","Collected Revenue"
"55","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","17740249","904657.74","Billed Revenue"
"56","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2022","2022","0","2307500","890968","Collected Revenue"
"57","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2022","2022","0","2307500","890968","Collected Unearned Revenue Roll"
"58","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","0","23364642","890968","Collected Unearned Revenue Roll"
"59","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","850427.47","Collected Revenue"
"60","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","850427.47","Billed Revenue"
"61","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","17740249","847577.09","Collected Revenue"
"62","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","847577.09","Billed Revenue"
"63","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2022","2022","13951","980541","789001.25","Collected Revenue"
"64","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","769558","Collected Revenue"
"65","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","769558","Billed Revenue"
"66","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5551198","766176.27","Collected Revenue"
"67","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5551198","766176.27","Billed Revenue"
"68","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","750858.55","Collected Revenue"
"69","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","750858.55","Billed Revenue"
"70","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2022","2022","2755000","2755000","750000","Collected Revenue"
"71","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","17740249","747765.02","Collected Revenue"
"72","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","17740249","747765.02","Billed Revenue"
"73","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2022","2022","0","737615","737615.25","Collected Revenue"
"74","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2022","2022","0","737615","737615.25","Billed Revenue"
"75","Department of Youth and Community Development","CHARGES FOR SERVICES","SOCIAL SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2022","2022","1718134","3539206","689368","Collected Revenue"
"76","Department of Youth and Community Development","CHARGES FOR SERVICES","SOCIAL SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2022","2022","1718134","3539206","687463.73","Collected Revenue"
"77","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2022","2022","571614","571614","619539.75","Collected Unearned Revenue Roll"
"78","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2022","2022","571614","571614","611636.71","Collected Unearned Revenue Roll"
"79","Department of Youth and Community Development","CHARGES FOR SERVICES","SOCIAL SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2022","2022","1718134","3539206","588466.58","Collected Revenue"
"80","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2022","2022","0","5939786","583505","Unbilled Revenue"
"81","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2022","2022","571614","571614","579204.44","Collected Unearned Revenue Roll"
"82","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5551198","565254.02","Collected Revenue"
"83","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5551198","565254.02","Billed Revenue"
"84","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16503608","543882.31","Collected Revenue"
"85","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16503608","543882.31","Billed Revenue"
"86","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2022","2022","571614","571614","483699","Collected Unearned Revenue Roll"
"87","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5513702","471637.22","Collected Revenue"
"88","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5513702","471637.22","Billed Revenue"
"89","Department of Youth and Community Development","State Grants and Contracts-Categorical","RUNAWAY & HOMELESS YOUTH","General Fund","STATE","YOUTH","2022","2023","772765","772765","466563","Collected Revenue"
"90","Department of Youth and Community Development","State Grants and Contracts-Categorical","RUNAWAY & HOMELESS YOUTH","General Fund","STATE","YOUTH","2022","2022","772765","772765","466563","Billed Revenue"
"91","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2023","5513702","5303409","465643.19","Collected Revenue"
"92","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5303409","465643.19","Billed Revenue"
"93","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","461897.36","Collected Revenue"
"94","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","16541104","461897.36","Billed Revenue"
"95","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2023","5513702","5303409","390775.25","Collected Revenue"
"96","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5303409","390775.25","Billed Revenue"
"97","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2022","2024","571614","1312229","381531","Collected Revenue"
"98","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2022","2022","571614","1312229","381531","Unbilled Revenue"
"99","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5513702","378696.25","Collected Revenue"
"100","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5513702","378696.25","Billed Revenue"
"101","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","1059379","367390","Billed Revenue"
"102","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5303409","353272.26","Collected Revenue"
"103","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5513702","353272.26","Billed Revenue"
"104","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","340693","Collected Revenue"
"105","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","340693","Collected Unearned Revenue Roll"
"106","Department of Youth and Community Development","State Grants and Contracts-Categorical","RUNAWAY & HOMELESS YOUTH","General Fund","STATE","YOUTH","2022","2024","772765","790983","324420","Collected Revenue"
"107","Department of Youth and Community Development","State Grants and Contracts-Categorical","RUNAWAY & HOMELESS YOUTH","General Fund","STATE","YOUTH","2022","2022","772765","790983","324420","Unbilled Revenue"
"108","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5513702","282188.86","Collected Revenue"
"109","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5513702","282188.86","Billed Revenue"
"110","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A.  DISLOCATED WORKERS","General Fund","FEDERAL - OTHER","LABOR","2022","2023","0","5939786","270914","Collected Revenue"
"111","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2022","2022","319316","390176","252963","Unbilled Revenue"
"112","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5513702","235999.86","Collected Revenue"
"113","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5513702","235999.86","Billed Revenue"
"114","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","215865.12","Collected Revenue"
"115","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","215865.12","Collected Unearned Revenue Roll"
"116","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2022","2023","319316","390176","215092.51","Collected Revenue"
"117","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2022","2023","319316","390176","215092.51","Billed Revenue"
"118","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","200428.59","Collected Revenue"
"119","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","200428.59","Collected Unearned Revenue Roll"
"120","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","195515.55","Collected Revenue"
"121","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","195515.55","Collected Unearned Revenue Roll"
"122","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5303409","191291.74","Collected Revenue"
"123","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","5513702","5303409","191291.74","Billed Revenue"
"124","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","184364.08","Collected Revenue"
"125","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","184364.08","Collected Unearned Revenue Roll"
"126","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","183900.16","Collected Revenue"
"127","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","183900.16","Collected Unearned Revenue Roll"
"128","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","173064.2","Collected Revenue"
"129","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","173064.2","Collected Unearned Revenue Roll"
"130","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","167935.64","Collected Unearned Revenue Roll"
"131","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","161047.76","Collected Revenue"
"132","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","161047.76","Collected Unearned Revenue Roll"
