"Adopted","Agency","Budget Fiscal Year","Closing Classification Name","Fiscal Year","Fund Class","Funding Class","Modified","Recognized","Revenue Category","Revenue Class","Revenue Source"\
446147.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,515197.00,-34717.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
446147.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,515197.00,-34717.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
0.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-34717.00,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
0.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-34717.00,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
0.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-34717.00,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
15000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,15000000.00,-34718.00,Federal Grants-Categorical,EDUCATION,SPECIAL GRANTS MISC
34006181.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,34006181.00,-34722.00,Federal Grants-Categorical,EDUCATION,TITLE III-LEP &  IMMIGRATION STUDENT
495049.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,495049.00,-34733.94,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
0.00,Department of Parks and Recreation,2016,Collected Unearned Revenue Roll,2020,General Fund,OTHER CATEGORICAL,0.00,-34747.62,Non-Governmental Grants,NONGOVT GRANTS-OTHER,PARKS RECREATION AND CONSERVATION
0.00,Mayoralty,2016,Collected Unearned Revenue Roll,2017,General Fund,OTHER CATEGORICAL,0.00,-34759.14,Non-Governmental Grants,NONGOVT GRANTS - HOUSING,NYC Build It Back Home Repair Program
10799190.00,Administration for Children's Services,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,1324007.00,-34771.00,Federal Grants-Categorical,Health and Human Services,TANF - FRINGE BENEFITS
80545040.00,Debt Service,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,80545040.00,-34771.40,Non-Governmental Grants,NONGOVT GRANTS-OTHER,INTEREST EXCHANGE AGREEMENT
139000000.00,Department of Buildings,2016,Collected Revenue,2016,General Fund,CITY FUNDS,139000000.00,-34771.95,"LICENS. PERM. PRIV, FRANCHISES",PERMITS,CONSTRUCTION PERMITS
0.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,0.00,-34773.55,TAXES,GENERAL PROPERTY TAXES,UTIL SPEC FRAN R.E
0.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,0.00,-34778.68,MISCELLANEOUS,MISCELLANEOUS,N.G. CHECKS
12000000.00,Department of Finance,2016,Collected Revenue,2016,General Fund,CITY FUNDS,13800000.00,-34788.83,CHARGES FOR SERVICES,GENERAL GOVERNMENTAL CHARGES,ADMINISTRATIVE SERV TO PUBLIC
12000000.00,Department of Finance,2016,Collected Revenue,2016,General Fund,CITY FUNDS,13800000.00,-34788.83,CHARGES FOR SERVICES,GENERAL GOVERNMENTAL CHARGES,ADMINISTRATIVE SERV TO PUBLIC
1330000.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,1528425.00,-34818.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
0.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-34818.00,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
50000000.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,50000000.00,-34825.50,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-34825.50,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-34825.50,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-34825.50,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,50000000.00,-34825.50,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,50000000.00,-34825.50,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-34825.50,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,50000000.00,-34825.50,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-34825.50,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,50000000.00,-34825.50,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
500000.00,Department of Parks and Recreation,2016,Collected Revenue,2016,General Fund,CITY FUNDS,500000.00,-34826.31,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
500000.00,Department of Parks and Recreation,2016,Collected Revenue,2016,General Fund,CITY FUNDS,500000.00,-34826.31,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
7679204.00,Department of Transportation,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,7679204.00,-34828.80,Federal Grants-Categorical,TRANSPORTATION,QUEENSBOROUGH BRIDGE
6234046.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,6617565.00,-34831.71,Federal Grants-Categorical,Health and Human Services,OCCUPATIONAL SAFETY AND HEALTH PROGRAM
17443.00,Department of Records and Information Services,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,222194.00,-34853.00,State Grants-Categorical,OTHER,LOCAL GOVERNMENT RECORDS MGMT
0.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,STATE,69706.00,-34853.00,State Grants-Categorical,OTHER,LOCAL GOVERNMENT RECORDS MGMT
437515.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,437515.00,-34855.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SHELTER PLUS CARE
429126.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,429126.00,-34869.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
429126.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,429126.00,-34869.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
0.00,Department of Small Business Services,2016,Billed Revenue,2017,General Fund,STATE,74992.00,-34875.00,State Grants-Categorical,OTHER,LOCAL GOVERNMENT RECORDS MGMT
1251191.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,1722061.00,-34882.85,Federal Grants-Categorical,Health and Human Services,Hospital Preparedness Program (HPP) and Public Health Emerge
34006181.00,Department of Education,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,34006181.00,-34893.00,Federal Grants-Categorical,EDUCATION,TITLE III-LEP &  IMMIGRATION STUDENT
259741.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,367633.00,-34894.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
259741.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,367633.00,-34894.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
17500000.00,Department of Education,2016,Billed Revenue,2017,General Fund,STATE,17500000.00,-34894.00,State Grants-Categorical,EDUCATION,SPECIAL GRANTS-MISCELLANEOUS
0.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-34896.00,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
21038101.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,21038101.00,-34896.00,Federal Grants-Categorical,AGRICULTURE,SCHOOL LUNCH
0.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,0.00,-34898.44,MISCELLANEOUS,MISCELLANEOUS,N.G. CHECKS
437515.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,437515.00,-34932.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SHELTER PLUS CARE
441552.00,Housing Preservation and Development,2016,Billed Revenue,2018,General Fund,FEDERAL - OTHER,445495.00,-34935.07,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
2074073.00,Department of Citywide Administrative Services,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,2074073.00,-34935.79,Federal Grants-Categorical,EDUCATION,TRIO: STUDENT SUPPORT SERVICES
0.00,Department of Transportation,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,1509139.00,-34940.32,Federal Grants-Categorical,TRANSPORTATION,HIGHWAY PLANNING AND CONSTRUCTION
50000000.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,50000000.00,-34946.22,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-34946.22,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
573438.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,573438.00,-34954.65,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
5062099.00,Administration for Children's Services,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,5100441.00,-34959.00,Federal Grants-Categorical,Health and Human Services,MEDICAL ASSISTANCE PROGRAM
0.00,Miscellaneous,2016,Accounts Left In Old Year,2016,General Fund,CITY FUNDS,0.00,-34963.06,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
489701978.00,Administration for Children's Services,2016,Billed Revenue,2019,General Fund,FEDERAL - OTHER,489701978.00,-34965.00,Federal Grants and Contracts-Categorical,Health and Human Services,CHILD CARE & DEVEL.BLOCK GRANT
489701978.00,Administration for Children's Services,2016,Collected Revenue,2019,General Fund,FEDERAL - OTHER,489701978.00,-34965.00,Federal Grants and Contracts-Categorical,Health and Human Services,CHILD CARE & DEVEL.BLOCK GRANT
489701978.00,Administration for Children's Services,2016,Billed Revenue,2019,General Fund,FEDERAL - OTHER,489701978.00,-34965.00,Federal Grants and Contracts-Categorical,Health and Human Services,CHILD CARE & DEVEL.BLOCK GRANT
489701978.00,Administration for Children's Services,2016,Unbilled Revenue,2017,General Fund,FEDERAL - OTHER,489701978.00,-34965.00,Federal Grants-Categorical,Health and Human Services,CHILD CARE & DEVEL.BLOCK GRANT
0.00,Police Department,2016,Billed Revenue,2017,General Fund,OTHER CATEGORICAL,123809.00,-34972.15,Non-Governmental Grants,NONGOVT GRANTS-HIGHWAYS & STS,TEA- CITY WIDE CONSTRUCTION PROJECT
602925335.00,Department of Social Services,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,596630718.00,-34979.00,Federal Grants-Categorical,Health and Human Services,TEMPORARY ASSISTANCE FOR NEEDY FAMILIES
-95000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-95000000.00,-34984.65,TAXES,INCOME TAXES,REFUNDS OF UNICORP BUSN TAX
-95000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-95000000.00,-34984.65,TAXES,INCOME TAXES,REFUNDS OF UNICORP BUSN TAX
500000.00,Department of Environmental Protection,2016,Collected Revenue,2016,General Fund,CITY FUNDS,500000.00,-34988.44,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
500000.00,Department of Environmental Protection,2016,Collected Revenue,2016,General Fund,CITY FUNDS,500000.00,-34988.44,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
7623284.00,Mayoralty,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,7623284.00,-34990.00,Federal Grants-Categorical,OTHER,REIMBURSEMENT-OVERHEAD COSTS
30000000.00,Department of Education,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,30000000.00,-34996.00,Federal Grants-Categorical,EDUCATION,TITLE I GRANTS TO LOCAL EDUCATIONAL AGCS
440000.00,Department of City Planning,2016,Unbilled Revenue,2017,General Fund,FEDERAL - OTHER,885247.00,-35000.00,Federal Grants and Contracts-Categorical,TRANSPORTATION,UMTA MASS TRANSIT STUDIES
22583741.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,20036030.00,-35000.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,HOUSING OPPORTUNITIES FOR PEOPLE WITH AI
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-35000.00,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,50000000.00,-35000.00,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
2129000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,2117000000.00,-35000.00,TAXES,INCOME TAXES,UNINCORPORATED BUSINESS INC TX
2129000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,2117000000.00,-35000.00,TAXES,INCOME TAXES,UNINCORPORATED BUSINESS INC TX
50000000.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,50000000.00,-35000.00,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-35000.00,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
2129000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,2102000000.00,-35000.00,TAXES,INCOME TAXES,UNINCORPORATED BUSINESS INC TX
4500000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,4500000000.00,-35000.00,TAXES,INCOME TAXES,GENERAL CORPORATION TAX
50000000.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,50000000.00,-35000.00,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-35000.00,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,50000000.00,-35000.00,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-35000.00,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,50000000.00,-35000.00,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-35000.00,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
4500000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,4500000000.00,-35000.00,TAXES,INCOME TAXES,GENERAL CORPORATION TAX
4500000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,4500000000.00,-35000.00,TAXES,INCOME TAXES,GENERAL CORPORATION TAX
437515.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,458898.00,-35003.68,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
351973.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,351973.00,-35003.87,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
351973.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,351973.00,-35003.87,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
9454230000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,9454230000.00,-35013.16,TAXES,GENERAL PROPERTY TAXES,REAL PROP TAX 3RD QUART
97887577.00,Department of Health and Mental Hygiene,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,133798889.00,-35016.25,State Grants-Categorical,HEALTH,EARLY INTERVENTION SERVICES
97887577.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,STATE,133798889.00,-35016.25,State Grants-Categorical,HEALTH,EARLY INTERVENTION SERVICES
0.00,Department of Health and Mental Hygiene,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-35016.25,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
344875.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,388386.00,-35017.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SHELTER PLUS CARE
0.00,Police Department,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,1038184.00,-35019.54,Non-Governmental Grants,NONGOVT GRANTS-HIGHWAYS & STS,TEA- CITY WIDE CONSTRUCTION PROJECT
788059843.00,Mayoralty,2016,Billed Revenue,2017,General Fund,FEDERAL - CD,790463129.00,-35025.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,CDBG-Disaster Recovery
0.00,Department of Transportation,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-35029.38,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
684360.00,Housing Preservation and Development,2016,Billed Revenue,2018,General Fund,FEDERAL - OTHER,684360.00,-35039.84,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
4500000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,4131161000.00,-35049.00,TAXES,INCOME TAXES,GENERAL CORPORATION TAX
0.00,District Attorney - Queens County,2016,Billed Revenue,2019,General Fund,STATE,333000.00,-35050.00,State Grants and Contracts-Categorical,MOTOR VEHICLES,STOP DRIVING WHILE INTOXICATED
2226337.00,Department of Transportation,2016,Collected Unearned Revenue Roll,2017,General Fund,STATE,2163546.00,-35052.00,State Grants-Categorical,MOTOR VEHICLES,STOP DRIVING WHILE INTOXICATED
34006181.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,34006181.00,-35052.00,Federal Grants-Categorical,EDUCATION,TITLE III-LEP &  IMMIGRATION STUDENT
5062099.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,5100441.00,-35054.00,Federal Grants-Categorical,Health and Human Services,MEDICAL ASSISTANCE PROGRAM
53583.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,513564.00,-35054.45,Federal Grants-Categorical,Health and Human Services,Child Lead Poisoning Prevention Surveillance financed in par
0.00,Department of Health and Mental Hygiene,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,15374.00,-35054.52,Federal Grants-Categorical,JUSTICE,NATIONAL INSTITUTE OF JUSTICE RESEARCH
587735.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,587735.00,-35054.92,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
0.00,Department of Social Services,2016,Billed Revenue,2017,General Fund,STATE,0.00,-35064.00,State Grants-Categorical,SOCIAL SERVICES,SPECIAL PROJECTS
17443.00,Department of Records and Information Services,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,222194.00,-35074.00,State Grants-Categorical,OTHER,LOCAL GOVERNMENT RECORDS MGMT
292056.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,358077.00,-35078.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
