"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"39","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","2322270.25","Billed Revenue"
"40","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","2291639.5","Billed Revenue"
"41","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","2291639.5","Collected Revenue"
"42","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","2277098.79","Billed Revenue"
"43","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","2277098.79","Collected Unearned Revenue Roll"
"44","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","2187044.85","Collected Revenue"
"45","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","2164945.91","Billed Revenue"
"46","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","2164945.91","Collected Unearned Revenue Roll"
"47","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","2092154.59","Collected Revenue"
"48","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","2075124.54","Collected Revenue"
"49","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","2040375.93","Billed Revenue"
"50","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","2040375.93","Collected Revenue"
"51","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","1992187.98","Collected Unearned Revenue Roll"
"52","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","1829544.18","Collected Unearned Revenue Roll"
"53","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","1797172.24","Collected Revenue"
"54","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","1796514.74","Collected Revenue"
"55","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","1796514.74","Collected Unearned Revenue Roll"
"56","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","1723166","Billed Revenue"
"57","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","1723166","Collected Revenue"
"58","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","1602793.18","Billed Revenue"
"59","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","1602793.18","Collected Revenue"
"60","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2012","","","1568560.75","Collected Revenue"
"61","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","1568560.75","Billed Revenue"
"62","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","1555133.6","Billed Revenue"
"63","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","1555133.6","Collected Revenue"
"64","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1532057.2","Collected Unearned Revenue Roll"
"65","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1503571.02","Collected Revenue"
"66","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1501254","Collected Unearned Revenue Roll"
"67","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2012","","","1466973.29","Collected Revenue"
"68","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","1466973.29","Billed Revenue"
"69","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1464564.12","Billed Revenue"
"70","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1464564.12","Collected Revenue"
"71","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1464564.12","Collected Unearned Revenue Roll"
"72","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","1370310.18","Collected Revenue"
"73","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1216898.25","Collected Revenue"
"74","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","1197177.44","Billed Revenue"
"75","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","1197177.44","Collected Revenue"
"76","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1186861.11","Collected Revenue"
"77","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","1186861.11","Billed Revenue"
"78","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","1113359.62","Collected Revenue"
"79","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2012","","","1104840.13","Collected Revenue"
"80","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1104840.13","Billed Revenue"
"81","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","981655.82","Collected Revenue"
"82","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","981655.82","Collected Unearned Revenue Roll"
"83","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","978084.8","Collected Revenue"
"84","Department for the Aging","Federal Grants-Categorical","LOW-INCOME HOME ENERGY ASSISTANCE","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","957819.16","Collected Unearned Revenue Roll"
"85","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","926191.04","Collected Revenue"
"86","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","926191.04","Billed Revenue"
"87","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2012","","","914753.05","Collected Revenue"
"88","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","914753.05","Billed Revenue"
"89","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","912081","Collected Unearned Revenue Roll"
"90","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","912081","Collected Unearned Revenue Roll"
"91","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","912081","Collected Unearned Revenue Roll"
"92","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","912081","Collected Revenue"
"93","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","912081","Collected Revenue"
"94","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","912081","Collected Revenue"
"95","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","906237.79","Billed Revenue"
"96","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","906237.79","Collected Revenue"
"97","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","893096.5","Collected Revenue"
"98","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","893096.5","Collected Unearned Revenue Roll"
"99","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","893096.5","Billed Revenue"
"100","Department for the Aging","Federal Grants-Categorical","LOW-INCOME HOME ENERGY ASSISTANCE","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","850000","Unbilled Revenue"
"101","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","838931.82","Collected Unearned Revenue Roll"
"102","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","836714","Collected Revenue"
"103","Department for the Aging","Federal Grants-Categorical","TITLE 3D HEALTH PROMOTION","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","836714","Collected Unearned Revenue Roll"
"104","Department for the Aging","Federal Grants-Categorical","TITLE 3D HEALTH PROMOTION","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","836714","Collected Unearned Revenue Roll"
"105","Department for the Aging","Federal Grants-Categorical","TITLE 3D HEALTH PROMOTION","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","836714","Collected Unearned Revenue Roll"
"106","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","836714","Collected Revenue"
"107","Department for the Aging","Federal Grants-Categorical","LOW-INCOME HOME ENERGY ASSISTANCE","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","786852.99","Collected Revenue"
"108","Department for the Aging","Federal Grants-Categorical","LOW-INCOME HOME ENERGY ASSISTANCE","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","786852.99","Billed Revenue"
"109","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","785526.12","Collected Unearned Revenue Roll"
"110","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","755819.54","Collected Revenue"
"111","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","755819.54","Billed Revenue"
"112","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","754193.92","Collected Revenue"
"113","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","754193.92","Billed Revenue"
"114","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","736243","Collected Revenue"
"115","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","725154.04","Collected Revenue"
"116","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","725154.04","Billed Revenue"
"117","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","724081.93","Collected Unearned Revenue Roll"
"118","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","706745","Collected Revenue"
"119","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","663916","Collected Revenue"
"120","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","651166.3","Collected Revenue"
"121","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","651166.3","Billed Revenue"
"122","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","610689.03","Collected Unearned Revenue Roll"
"123","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","605084.18","Unbilled Revenue"
"124","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","600025.55","Billed Revenue"
"125","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2012","","","600025.55","Collected Revenue"
"126","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","588192.23","Collected Revenue"
"127","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","588192.23","Billed Revenue"
"128","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","577668","Billed Revenue"
"129","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","577668","Collected Revenue"
"130","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","571174.69","Billed Revenue"
"131","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","557477.2","Collected Revenue"
"132","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","557477.2","Billed Revenue"
"133","Department for the Aging","Federal Grants-Categorical","TITLE V NCOA EMPLOYMENT PROG.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","493249","Collected Unearned Revenue Roll"
"134","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","491517.91","Collected Revenue"
"135","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","488083","Unbilled Revenue"
"136","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2011","2012","","","457085","Collected Revenue"
"137","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2011","2011","","","457085","Billed Revenue"
"138","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2012","","","451015.91","Collected Revenue"
"139","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","451015.91","Billed Revenue"
"140","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","444818.42","Accounts Left In Old Year"
"141","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","440611.75","Collected Unearned Revenue Roll"
"142","Department for the Aging","Federal Grants-Categorical","TITLE V NCOA EMPLOYMENT PROG.","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","437605","Collected Unearned Revenue Roll"
"143","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2011","2011","","","437605","Billed Revenue"
"144","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2011","2011","","","437605","Collected Revenue"
"145","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","416265.97","Collected Unearned Revenue Roll"
"146","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","411971.03","Collected Revenue"
"147","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","404772.85","Collected Revenue"
"148","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","404772.85","Billed Revenue"
"149","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2011","2012","","","391457.83","Collected Revenue"
