"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"14","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","7663918.53","Collected Revenue"
"15","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","7663918.53","Billed Revenue"
"16","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT-ARRA","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","7530630.99","Collected Revenue"
"17","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","6918966.59","Billed Revenue"
"18","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2011","2011","","","6917510","Collected Revenue"
"19","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","6606343.18","Collected Revenue"
"20","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","6391694.19","Billed Revenue"
"21","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","6391694.19","Collected Revenue"
"22","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","6391694.19","Collected Revenue"
"23","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","6391694.19","Billed Revenue"
"24","Department of Youth and Community Development","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","4271785","Collected Revenue"
"25","Department of Youth and Community Development","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","4271785","Collected Unearned Revenue Roll"
"26","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2011","2011","","","4093151.66","Collected Revenue"
"27","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2011","2011","","","2921130.2","Collected Revenue"
"28","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","2736471.59","Unbilled Revenue"
"29","Department of Youth and Community Development","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","2135893","Collected Revenue"
"30","Department of Youth and Community Development","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","2135893","Collected Unearned Revenue Roll"
"31","Department of Youth and Community Development","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","2135892","Collected Revenue"
"32","Department of Youth and Community Development","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","2135892","Collected Unearned Revenue Roll"
"33","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1982710.91","Collected Revenue"
"34","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1982710.91","Billed Revenue"
"35","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2011","2011","","","1896950.56","Billed Revenue"
"36","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2011","2011","","","1896950.56","Collected Unearned Revenue Roll"
"37","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2011","2011","","","1896950.56","Collected Revenue"
"38","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2011","2011","","","1601669.33","Collected Revenue"
"39","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT-ARRA","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","1524085.55","Collected Revenue"
"40","Department of Youth and Community Development","State Grants-Categorical","YOUTH INITIATIVES","General Fund","STATE","YOUTH","2011","2011","","","1268745","Collected Unearned Revenue Roll"
"41","Department of Youth and Community Development","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","1268745","Collected Unearned Revenue Roll"
"42","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1164128.38","Billed Revenue"
"43","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2012","","","1164128.38","Collected Revenue"
"44","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1105196.7","Collected Revenue"
"45","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1105196.7","Billed Revenue"
"46","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1097962.85","Billed Revenue"
"47","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1097962.85","Collected Revenue"
"48","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1088616.51","Collected Revenue"
"49","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1088616.51","Billed Revenue"
"50","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT-ARRA","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","1037164.01","Collected Revenue"
"51","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT-ARRA","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","1037164","Billed Revenue"
"52","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1031092.99","Collected Revenue"
"53","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","1031092.99","Billed Revenue"
"54","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT-ARRA","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","979113.58","Collected Revenue"
"55","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2012","","","942060.65","Billed Revenue"
"56","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","936281.9","Billed Revenue"
"57","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","936281.9","Collected Revenue"
"58","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","934964.37","Billed Revenue"
"59","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","934964.37","Collected Revenue"
"60","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","934964.37","Collected Revenue"
"61","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","934964.37","Billed Revenue"
"62","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2013","","","921284.58","Collected Revenue"
"63","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2012","","","907960","Billed Revenue"
"64","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2012","","","903229.87","Collected Revenue"
"65","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","903229.87","Billed Revenue"
"66","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2013","","","901580.24","Collected Revenue"
"67","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","898936.58","Collected Revenue"
"68","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","898936.58","Billed Revenue"
"69","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","869578.79","Billed Revenue"
"70","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","869578.79","Collected Revenue"
"71","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","848740.24","Collected Revenue"
"72","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","848740.24","Billed Revenue"
"73","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","834228.56","Collected Revenue"
"74","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","834228.56","Billed Revenue"
"75","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","823269.91","Collected Revenue"
"76","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","823269.91","Billed Revenue"
"77","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","745479.93","Billed Revenue"
"78","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2012","","","745479.93","Collected Revenue"
"79","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","683282.48","Billed Revenue"
"80","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","680004.45","Collected Revenue"
"81","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2012","","","678661.36","Collected Revenue"
"82","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","678661.36","Billed Revenue"
"83","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","592524.02","Billed Revenue"
"84","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2012","","","592524.02","Collected Revenue"
"85","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","584425.42","Billed Revenue"
"86","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","584425.42","Collected Revenue"
"87","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","573665.69","Billed Revenue"
"88","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","573665.69","Collected Revenue"
"89","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2011","2011","","","553956.42","Collected Revenue"
"90","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2011","2011","","","553956.42","Billed Revenue"
"91","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","501385.74","Billed Revenue"
"92","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","501385.74","Collected Revenue"
"93","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","489878.31","Billed Revenue"
"94","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","489878.31","Collected Revenue"
"95","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","486348","Collected Unearned Revenue Roll"
"96","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2012","","","465560.94","Collected Revenue"
"97","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2012","","","465560.94","Billed Revenue"
"98","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","464307.91","Collected Revenue"
"99","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","464307.91","Billed Revenue"
"100","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","449176.4","Collected Revenue"
"101","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","449176.4","Billed Revenue"
"102","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","445360.44","Billed Revenue"
"103","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2012","","","445360.44","Collected Revenue"
"104","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","433456","Billed Revenue"
"105","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","433456","Collected Revenue"
"106","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2011","2011","","","418255.58","Unbilled Revenue"
"107","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2011","2012","","","401528.58","Billed Revenue"
"108","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2011","2012","","","401528.58","Collected Revenue"
"109","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","400205.18","Billed Revenue"
"110","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","396653.59","Billed Revenue"
"111","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","396653.59","Collected Revenue"
"112","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","395802.92","Collected Revenue"
"113","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","395251.8","Billed Revenue"
"114","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2012","","","395251.8","Collected Revenue"
"115","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","393440.86","Billed Revenue"
"116","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","366670.44","Collected Revenue"
"117","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","366670.44","Billed Revenue"
"118","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","364759.57","Collected Revenue"
"119","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","364759.57","Collected Unearned Revenue Roll"
"120","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","364759.56","Billed Revenue"
"121","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","349555.17","Collected Revenue"
"122","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","326434.04","Billed Revenue"
"123","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","326434.04","Collected Revenue"
"124","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","314593.19","Collected Revenue"
"125","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","314593.19","Billed Revenue"
"126","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2013","","","312623.41","Collected Revenue"
"127","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2013","","","312623.41","Collected Unearned Revenue Roll"
"128","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2013","","","312623.41","Billed Revenue"
"129","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2013","","","312623.41","Collected Revenue"
"130","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2013","","","312623.41","Billed Revenue"
"131","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2013","","","312623.41","Collected Unearned Revenue Roll"
"132","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2013","","","312623.41","Collected Unearned Revenue Roll"
"133","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2013","","","312623.41","Billed Revenue"
"134","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2013","","","312623.41","Collected Revenue"
"135","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","312623.41","Collected Revenue"
"136","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","310047.66","Collected Revenue"
"137","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","310047.66","Billed Revenue"
"138","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","309859.19","Collected Revenue"
"139","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2011","2011","","","309859.19","Billed Revenue"
"140","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","295442.37","Collected Revenue"
"141","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","295442.37","Billed Revenue"
"142","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2012","","","288772.44","Collected Revenue"
"143","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","288772.44","Billed Revenue"
"144","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2011","2011","","","286693.14","Billed Revenue"
